fid,municipal,muni_id,complies_with_zoning,%_compliant_zoning,logrecno,geoid,years,pop,nhwhi,nhaa,nhna,nhapi,nhas,nhpi,nhoth,nhmlt,latino,nhwhi_p,nhaa_p,nhna_p,nhapi_p,nhas_p,nhpi_p,nhoth_p,nhmlt_p,lat_p,%_single_family,ppl_2020,ppl_under_5_percent,ppl_under_18_percent,ppl_65_over_percent,female_percent,veterans,foreign_born_ppl_percent_2018_2022,housing_units_2022,owner_occupied_housing_unit_rate_2018_2022,median_value_owner_occupied_housing_units_2018_2022,median_gross_rent_2018_2022,households_2018_2022,ppl_per_household_2018_2022,living_in_same_house_1_year_ago_ppl_percent_2018_2022,language_other_than_english_spoken_at_home_ppl_percent_age_5_years_plus_2018_2022,households_with_computer_percent_2018_2022,households_with_internet_subscription_percent_2018_2022,ppl_percent_age_25_plus_high_school_graduate_or_higher,ppl_percent_age_25_plus_bachelors_or_higher,ppl_without_health_insurance_under_age_65_percent,mean_travel_time_to_work_in_min_age_16_plus,median_household_income_in_2022_dollars,per_capita_income_in_past_12_months_in_2022_dollars,ppl_in_poverty_percent,density_2020,land_area_sq_miles_2020
1,Acton,2,1,96.591,207,06000US2501700380,2020,24021,15164,572,18,6028,6024,4,232,1087,920,63.1,2.4,0.1,25.1,25.1,0,1,4.5,3.8,3.39519045,"24,021",4.2,25,16.1,52.4,860,28.3,X,73.9,696500,1781,"9,021",2.63,87.7,33,97.5,96,97.1,77,1.9,35,150482,73627,2.6,"1,209.20",19.87
2,Arlington,10,1,97.824,208,06000US2501701605,2020,46308,34813,1052,28,5648,5642,6,282,2348,2137,75.2,2.3,0.1,12.2,12.2,0,0.6,5.1,4.6,66.83652562,"46,308",5.4,21.3,16.6,52.7,815,18.5,X,60.7,839200,1902,"19,451",2.34,87.3,22,96.4,94,97.1,74.4,1.2,32.4,136312,77043,5.4,"9,004.10",5.14
3,Ashland,14,1,95.769,210,06000US2501702130,2020,18832,12891,514,29,2460,2458,2,649,1132,1157,68.5,2.7,0.2,13.1,13.1,0,3.4,6,6.1,85.06239652,"18,832",4.6,19,17.2,50.8,589,21.9,X,76.7,532000,2273,"7,653",2.42,88.9,27.3,96.9,94.7,97.4,61.2,2.4,34.6,124311,67369,4.2,"1,526.30",12.34
4,Bedford,23,1,96.526,212,06000US2501704615,2020,14383,10578,365,15,2241,2241,0,68,600,516,73.5,2.5,0.1,15.6,15.6,0,0.5,4.2,3.6,0,"14,383",4.2,23.2,16.5,52.2,750,26.3,X,70.3,829000,2311,"5,601",2.49,88.2,24.8,97.1,96.1,94.5,68.9,1.3,25,143736,78983,4.6,"1,052.80",13.66
5,Bellingham,25,1,94.797,264,06000US2502104930,2020,16945,14471,297,21,506,503,3,177,720,753,85.4,1.8,0.1,3,3,0,1,4.2,4.4,0,"16,945",5,22.6,14,50,687,7.9,X,79.3,395800,1635,"6,270",2.71,93,11,95.9,96.2,96.2,40.4,3.4,36.2,116152,48122,5.1,923.8,18.34
6,Belmont,26,1,96.313,213,06000US2501705070,2020,27295,18989,519,13,5043,5038,5,176,1282,1273,69.6,1.9,0,18.5,18.5,0,0.6,4.7,4.7,75.01661803,"27,295",5.1,24.3,17.6,53.3,504,25.6,X,63.5,1060600,2339,"10,431",2.56,87.6,30.8,96.2,95.2,97.4,79.6,1.9,30,164918,88841,3.9,"5,872.40",4.65
7,Beverly,30,1,96.392,106,06000US2500905595,2020,42670,36111,916,27,939,929,10,290,1690,2697,84.6,2.1,0.1,2.2,2.2,0,0.7,4,6.3,28.56798483,"42,670",5.6,19.2,18.2,52,"2,116",9.9,X,60.1,569300,1622,"16,909",2.31,87.6,12,92.8,90.7,96.7,52.4,2.6,30.1,99525,56102,10.5,"2,827.70",15.09
8,Bolton,34,1,95.778,330,06000US2502706365,2020,5665,4903,16,0,269,269,0,49,279,149,86.5,0.3,0,4.7,4.7,0,0.9,4.9,2.6,100,"5,665",7.3,27.2,14.6,50.3,197,11.7,X,94.6,679600,1545,"1,882",2.99,89.6,12.4,97.6,97.3,99.2,77.1,1.1,35.5,191208,76344,2.4,284,19.95
9,Boston,35,1,94.667,320,06000US2502507000,2020,675647,301464,129264,989,75839,75588,251,9257,32721,126113,44.6,19.1,0.1,11.2,11.2,0,1.4,4.8,18.7,0,"675,647",4.7,15.7,12.3,51.8,"13,282",28.1,X,34.8,684900,1981,"276,053",2.26,80.4,36,94.2,89.6,88.4,53.4,3.6,30.6,89212,55949,17.5,"13,976.70",48.34
10,Boxborough,37,1,91.205,215,06000US2501707350,2020,5506,3694,119,1,1187,1186,1,38,249,218,67.1,2.2,0,21.6,21.5,0,0.7,4.5,4,0,"5,506",2.3,20.4,12.3,53.1,50,25.7,X,74,653300,1726,"2,166",2.52,90,24.6,98.8,98.2,97.4,78.5,4.9,31.6,151207,73508,4,535.3,10.29
11,Braintree,40,1,88.425,265,06000US2502107740,2020,39143,27425,1275,34,6748,6739,9,440,1361,1860,70.1,3.3,0.1,17.2,17.2,0,1.1,3.5,4.8,0,"39,143",4.3,20.6,17.4,50.1,"1,610",19.4,X,76.7,596800,1678,"14,407",2.65,91.6,25.4,95.7,93.4,93.3,46.1,1.8,32.6,120593,56554,5.1,"2,844.10",13.76
12,Brookline,46,1,96.62,266,06000US2502109175,2020,63191,41243,1961,38,12102,12091,11,391,3184,4272,65.3,3.1,0.1,19.2,19.1,0,0.6,5,6.8,69.47470893,"63,191",5.8,19.1,15.8,54.2,"1,262",29.3,X,46.4,1181200,2702,"26,919",2.28,77.5,32.5,97.5,95.2,97.5,84.3,1.5,28.6,130600,91184,10.1,"9,347.80",6.76
13,Burlington,48,1,95.305,216,06000US2501709840,2020,26377,18460,1221,15,4696,4694,2,158,794,1033,70,4.6,0.1,17.8,17.8,0,0.6,3,3.9,0,"26,377",5.4,19.1,21.5,51.5,873,19.3,X,73.5,659400,2319,"10,059",2.58,91.2,20.8,96.2,95.6,96.7,58.2,3.7,29.8,133936,62805,5.2,"2,244.90",11.75
14,Cambridge,49,1,97.324,217,06000US2501711000,2020,118403,65553,12016,154,22677,22628,49,993,6272,10738,55.4,10.1,0.1,19.2,19.1,0,0.8,5.3,9.1,0,"118,403",4.2,12.2,11.9,49.9,"1,786",29.5,X,33.6,997600,2628,"49,475",2.08,72.9,34.5,97.3,92.8,95.6,79.9,2.2,26.2,121539,72975,12.1,"18,520.70",6.39
15,Canton,50,1,92.07,267,06000US2502111315,2020,24370,17772,2224,16,2150,2139,11,190,941,1077,72.9,9.1,0.1,8.8,8.8,0,0.8,3.9,4.4,0,"24,370",6.3,21.9,19.6,50.8,937,13.4,X,75.7,636800,2124,"9,649",2.48,92.8,17.1,96.7,91.9,96.3,61.9,2.2,35.5,130134,71858,5.1,"1,300.00",18.75
16,Carlisle,51,1,98.084,218,06000US2501711525,2020,5237,4129,35,0,596,594,2,29,282,166,78.8,0.7,0,11.4,11.3,0,0.6,5.4,3.2,0,"5,237",5.7,26,21.1,46.2,277,11.4,X,94,940300,1296,"1,787",2.91,92.4,12.5,98.3,96.9,100,81.3,0.7,35.4,247656,104038,3.8,342.9,15.27
17,Chelsea,57,1,97.847,321,06000US2502513205,2020,40787,8242,2667,69,1307,1299,8,649,1027,26826,20.2,6.5,0.2,3.2,3.2,0,1.6,2.5,65.8,0,"40,787",7.6,22.9,10.2,47.6,441,47,X,27.9,450600,1806,"13,386",2.92,85.1,71,90.8,82.7,67.5,21.6,5.3,34.1,71051,30454,21.4,"18,380.80",2.22
18,Cohasset,65,1,94.873,268,06000US2502114640,2020,8381,7777,29,11,98,98,0,23,252,191,92.8,0.3,0.1,1.2,1.2,0,0.3,3,2.3,0,"8,381",7.6,28.3,16.3,50.6,430,3,X,79.6,1071800,1430,"3,107",2.66,96.4,4.7,97.8,95.7,97.4,71.4,3.3,42.2,178013,108042,3.9,856.5,9.79
19,Concord,67,1,98.212,220,06000US2501715060,2020,18491,15129,462,1,1175,1171,4,88,775,861,81.8,2.5,0,6.4,6.3,0,0.5,4.2,4.7,0,"18,491",4,24.3,22.2,49.7,726,11.3,X,75.5,1018100,2538,"6,439",2.65,88.5,14.8,97.3,97.2,96.6,77.1,1.5,32,184086,92377,2.5,754.3,24.51
20,Danvers,71,1,92.103,108,06000US2500916250,2020,28087,24516,525,23,651,650,1,176,951,1245,87.3,1.9,0.1,2.3,2.3,0,0.6,3.4,4.4,0,"28,087",5,17.6,21.3,52.7,"1,263",9.2,X,70.1,589600,1862,"11,147",2.43,88.4,11.7,94.5,93.7,94.4,47.3,1.3,27.9,116636,55742,4.3,"2,115.30",13.28
21,Dedham,73,1,98.67,269,06000US2502116495,2020,25364,19775,1501,15,956,951,5,167,825,2125,78,5.9,0.1,3.8,3.7,0,0.7,3.3,8.4,0,"25,364",5.5,18,20.6,53.3,918,14.1,X,70.5,601700,2006,"10,427",2.34,89,17.4,94.3,90.4,94.4,55.8,2,30.6,118877,65381,4.1,"2,469.70",10.27
22,Dover,78,1,98.118,270,06000US2502117405,2020,5923,4786,48,4,600,600,0,27,292,166,80.8,0.8,0.1,10.1,10.1,0,0.5,4.9,2.8,100,"5,923",4.8,26.9,19,47.5,112,15.3,X,94.2,1152400,2536,"1,887",3.12,93,16.6,99.4,97.9,98.3,87.7,0,38.9,250000,141737,1.6,392.4,15.1
23,Duxbury,82,1,93.709,296,06000US2502317895,2020,16090,14913,67,15,220,220,0,57,472,346,92.7,0.4,0.1,1.4,1.4,0,0.4,2.9,2.2,100,"16,090",4.2,22.3,23.5,52.2,"1,033",3.1,X,88.3,787300,1597,"6,063",2.62,91.6,3.8,97.4,97.1,96,71.5,2.9,35.7,148505,79230,4.8,678.9,23.7
24,Essex,92,1,45.959,109,06000US2500921850,2020,3675,3398,16,0,35,35,0,13,112,101,92.5,0.4,0,1,1,0,0.4,3,2.7,0.148950953,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Everett,93,1,89.931,223,06000US2501721990,2020,49075,16729,6929,55,3702,3692,10,3110,4560,13990,34.1,14.1,0.1,7.5,7.5,0,6.3,9.3,28.5,0,"49,075",6.4,21.8,11.5,47.3,881,45,X,35.8,557700,1892,"17,054",2.84,88.9,61.6,94.2,92,80.4,23.6,8.6,36.5,77796,33954,14.4,"14,366.20",3.42
26,Foxborough,99,1,95.693,271,06000US2502124820,2020,18618,15573,766,12,836,834,2,121,605,705,83.6,4.1,0.1,4.5,4.5,0,0.6,3.2,3.8,92.78636919,"18,618",5.3,20.4,17.2,50.8,"1,000",10.5,X,72,546600,1705,"7,212",2.56,90.6,14.2,96.1,94.4,97.2,59.5,1.8,34.6,104350,61933,5.2,937.7,19.86
27,Framingham,100,1,95.375,224,06000US2501724960,2020,72362,38855,4248,84,5250,5233,17,5446,6308,12171,53.7,5.9,0.1,7.3,7.2,0,7.5,8.7,16.8,86.35750012,"72,362",5.9,21.2,16.6,49.9,"2,032",30.8,X,55.1,553200,1689,"27,810",2.47,87.8,41.6,96.1,94,89.4,50.1,6.1,30.3,94909,52370,10.4,"2,889.40",25.04
28,Franklin,101,1,95.296,272,06000US2502125172,2020,33261,28305,635,21,1845,1829,16,194,1040,1221,85.1,1.9,0.1,5.5,5.5,0,0.6,3.1,3.7,0,"33,261",3.7,20.4,13.5,52.2,807,8.8,X,79.2,516500,1792,"12,131",2.61,91.1,10.5,98.3,95.9,97.2,55.6,1.2,34.4,138062,61841,4.6,"1,248.60",26.64
29,Gloucester,107,1,98.662,111,06000US2500926150,2020,29729,26256,294,33,348,332,16,279,1133,1386,88.3,1,0.1,1.2,1.1,0.1,0.9,3.8,4.7,3.344654745,"29,729",5.7,15.4,25.6,50.8,"1,319",9.4,X,61.4,535100,1390,"13,259",2.22,91.4,11.2,92.9,89.1,94.6,39.6,4.1,25.5,84465,50993,10.8,"1,134.80",26.2
